,Precision,Recall,F1-Score,False Positive Rate
Isolation Forest,0.6876742889012828,0.05165869231864992,0.09609838978691565,0.05000893016610109
Autoencoder,0.5188176662656814,0.0252972574387679,0.048242249920102266,0.05000893016610109
LSTM Autoencoder,0.5736257042789706,0.03156501118643216,0.05983734155097373,0.05000893016610109
Fused System (ADAPT-SEC),1.0,3.3517399720129715e-05,6.703255268339687e-05,0.0
